session,capture_fps,pipeline_frames,detect_every_n,cache_source_face,server_fps,wait_ms,process_ms,detect_ms,swap_ms,detect_reuse_pct,in_kb
A_30fps_pipe90_detect1_cache_on,30,90,1,True,12.57,35.6,41.1,8.7,32.3,0.0,12.4
A_30fps_pipe90_detect1_cache_on,30,90,1,True,9.58,65.1,36.7,6.1,30.5,0.0,12.6
A_30fps_pipe90_detect1_cache_on,30,90,1,True,11.76,45.6,36.5,6.4,30.1,0.0,13.1
A_30fps_pipe90_detect1_cache_on,30,90,1,True,17.76,16.5,37.1,6.6,30.5,0.0,12.2
A_30fps_pipe90_detect1_cache_on,30,90,1,True,9.14,72.7,34.3,5.7,28.5,0.0,13.0
B_30fps_pipe30_detect1_cache_on,30,30,1,True,8.54,75.5,39.3,7.7,31.6,0.0,12.3
B_30fps_pipe30_detect1_cache_on,30,30,1,True,8.97,73.6,35.4,6.3,29.1,0.0,12.9
B_30fps_pipe30_detect1_cache_on,30,30,1,True,10.49,58.0,34.7,6.1,28.5,0.0,12.4
B_30fps_pipe30_detect1_cache_on,30,30,1,True,10.91,54.0,35.2,6.1,29.0,0.0,12.7
B_30fps_pipe30_detect1_cache_on,30,30,1,True,9.99,62.2,35.2,6.3,28.8,0.0,12.9
B_30fps_pipe30_detect1_cache_on,30,30,1,True,9.24,71.3,34.6,5.8,28.7,0.0,12.3
B_30fps_pipe30_detect1_cache_on,30,30,1,True,8.94,73.8,35.4,6.3,29.0,0.0,12.8
B_30fps_pipe30_detect1_cache_on,30,30,1,True,8.68,77.8,35.0,5.9,29.1,0.0,12.4
C_15fps_pipe15_detect1_cache_on,15,15,1,True,9.78,61.1,38.5,7.8,30.7,0.0,12.5
C_15fps_pipe15_detect1_cache_on,15,15,1,True,8.8,76.9,34.3,5.8,28.5,0.0,13.0
C_15fps_pipe15_detect1_cache_on,15,15,1,True,10.19,60.5,35.2,5.9,29.2,0.0,12.8
D_15fps_pipe75_detect1_cache_on,15,75,1,True,15.06,25.9,38.2,7.1,31.0,0.0,12.8
D_15fps_pipe75_detect1_cache_on,15,75,1,True,11.11,51.8,35.7,6.4,29.2,0.0,13.2
D_15fps_pipe75_detect1_cache_on,15,75,1,True,18.7,13.8,37.3,6.5,30.8,0.0,12.5
D_15fps_pipe75_detect1_cache_on,15,75,1,True,9.93,64.1,34.3,5.8,28.5,0.0,13.0
D_15fps_pipe75_detect1_cache_on,15,75,1,True,10.62,54.4,37.0,7.9,29.0,0.0,12.7
D_15fps_pipe75_detect1_cache_on,15,75,1,True,10.14,61.5,34.8,6.1,28.6,0.0,12.7
E_15fps_pipe75_detect3_cache_off,15,75,3,False,7.26,12.1,123.0,37.7,85.3,64.9,12.7
E_15fps_pipe75_detect3_cache_off,15,75,3,False,7.55,0.1,129.5,38.4,90.9,68.4,12.9
E_15fps_pipe75_detect3_cache_off,15,75,3,False,8.37,0.1,116.7,36.8,79.9,66.7,12.9
E_15fps_pipe75_detect3_cache_off,15,75,3,False,7.67,0.1,127.7,37.8,89.8,65.0,12.2
F_15fps_pipe75_detect3_cache_on,15,75,3,True,7.47,93.9,37.4,3.8,33.6,65.8,12.5
F_15fps_pipe75_detect3_cache_on,15,75,3,True,6.8,101.5,42.7,2.6,39.9,65.7,12.8
F_15fps_pipe75_detect3_cache_on,15,75,3,True,8.26,82.0,36.5,2.2,34.3,67.4,12.4
F_15fps_pipe75_detect3_cache_on,15,75,3,True,5.55,135.7,41.9,2.5,39.4,65.5,12.7
F_15fps_pipe75_detect3_cache_on,15,75,3,True,7.55,88.0,42.0,2.4,39.6,66.7,13.0
F_15fps_pipe75_detect3_cache_on,15,75,3,True,8.1,88.1,32.9,2.1,30.7,66.7,12.3
F_15fps_pipe75_detect3_cache_on,15,75,3,True,7.55,91.9,38.0,2.2,35.7,68.4,13.0
G_15fps_pipe75_detect1_cache_on,15,75,1,True,10.9,50.0,39.3,7.5,31.7,0.0,13.1
G_15fps_pipe75_detect1_cache_on,15,75,1,True,11.32,49.1,36.7,6.8,29.8,0.0,12.3
G_15fps_pipe75_detect1_cache_on,15,75,1,True,10.75,54.6,36.0,6.0,29.9,0.0,12.7
G_15fps_pipe75_detect1_cache_on,15,75,1,True,14.32,31.1,36.2,6.3,29.9,0.0,12.7
G_15fps_pipe75_detect1_cache_on,15,75,1,True,11.75,45.2,36.9,7.0,29.8,0.0,12.8
G_15fps_pipe75_detect1_cache_on,15,75,1,True,9.14,72.8,34.1,5.8,28.2,0.0,13.1
